Data Series
Housing Starts
Building Permits
Existing Home Sales
NY Fed Change in Credit Availability 1Yr Ahead (Much + Somewhat Harder)
M&A Activity 
ISM Svcs Prices Paid
ISM Mfg Prices Paid
Mortgage Applications
Present Situation - Expectations
Inventories
Atl Fed GDPNow
Auto Sales
TSA Passenger Throughput
Empire State Mfg Index
Empire State Mfg Index Prices Paid 
Empire State Mfg Index New Orders 
Empire State Mfg Index New Orders (6m Ahead)
SLOOS Higher Availability - Less Availability
